,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
71,27550,98684,10136.0,2.5,2.2,8.4,11.2,14.1,22.0,14.7,17.0,4.9,3.0
72,6504,98816,2616.0,10.5,2.0,11.5,11.2,17.2,16.9,10.9,14.5,2.7,2.4
73,31331,99223,12975.0,6.4,4.7,6.7,8.8,13.7,20.0,12.9,14.8,6.4,5.6
74,993,99330,326.0,4.3,12.9,29.8,0.0,12.3,19.0,19.3,2.5,0.0,0.0
75,30222,99337,10763.0,2.7,3.9,8.8,7.1,13.8,19.2,16.6,18.4,4.4,5.0
76,8842,99349,1823.0,3.4,1.8,4.1,21.2,14.0,30.1,15.6,8.7,0.0,1.0
77,29963,99352,11782.0,4.8,3.1,9.2,6.1,11.6,15.1,11.9,18.9,9.2,10.0
78,6553,99001,1363.0,5.6,9.9,13.0,14.7,13.5,21.5,13.6,7.2,1.0,0.0
79,155,99017,65.0,1.5,3.1,12.3,13.8,32.3,18.5,6.2,9.2,0.0,3.1
80,8765,99021,3472.0,4.8,1.4,10.5,7.1,14.5,26.1,12.3,15.5,3.3,4.6
81,1482,99110,510.0,18.4,12.5,8.2,9.4,14.9,15.3,6.3,12.5,2.4,0.0
82,4269,99111,1809.0,8.3,3.0,10.9,10.2,17.9,16.7,11.8,16.3,3.5,1.4
83,935,99123,420.0,1.7,6.4,14.5,9.5,13.1,29.8,5.2,16.0,3.1,0.7
84,363,99135,132.0,5.3,0.8,6.1,4.5,10.6,24.2,15.9,25.0,0.0,7.6
85,77,99146,20.0,0.0,15.0,10.0,0.0,0.0,60.0,0.0,15.0,0.0,0.0
86,395,99150,123.0,23.6,5.7,8.9,8.1,21.1,15.4,7.3,2.4,7.3,0.0
87,132,99151,58.0,0.0,5.2,17.2,25.9,19.0,27.6,0.0,1.7,3.4,0.0
88,653,99158,234.0,5.1,6.4,7.3,12.0,14.5,31.6,6.8,12.8,1.3,2.1
89,532,99167,259.0,11.2,3.1,11.6,13.5,21.6,22.8,12.4,2.7,1.2,0.0
90,1015,99180,368.0,12.5,6.5,11.4,17.9,6.5,19.3,6.5,12.5,4.3,2.4
91,1808,99181,744.0,13.4,7.7,10.8,15.1,22.0,16.0,5.1,3.5,1.7,4.7
92,948,98836,274.0,0.0,0.0,10.2,0.0,20.1,27.7,13.9,19.7,0.0,8.4
93,143,98833,51.0,0.0,0.0,15.7,0.0,52.9,13.7,0.0,17.6,0.0,0.0
94,5832,99204,3374.0,16.4,10.4,18.5,13.8,11.9,9.8,9.1,7.6,1.5,1.2
95,36768,99206,14611.0,5.8,4.7,10.1,13.0,12.6,20.8,15.5,12.1,3.6,1.9
